数据集,验证方式,训练集:测试集,验证次数,单目标/多目标,损失函数,优化方法,学习率,训练轮数,MAE,MSE,RMSE,total_loss,total_tokens,total_loss/total_tokens
helpdesk,5-fold,3043:761,1,simple,MSE,Adam,0.1,9,6.475577472970727,48.28480283395711,6.948726705948156,11.705358505249023,6025,0.0019427980921575142
helpdesk,5-fold,3043:761,2,simple,MSE,Adam,0.1,9,5.42053802199004,35.723690326407876,5.976929841181664,7.594300270080566,6539,0.0011613855742591476
helpdesk,5-fold,3043:761,3,simple,MSE,Adam,0.1,9,2.986062238342689,10.44463757859931,3.2318164518733594,16.121118545532227,6228,0.002588490453682117
helpdesk,5-fold,3043:761,4,simple,MSE,Adam,0.1,9,5.655025888120399,38.4542184229639,6.2011465410006155,8.546188354492188,6146,0.0013905285314826208
helpdesk,5-fold,3044:760,5,simple,MSE,Adam,0.1,9,2.8475076274188584,17.46614180917182,4.17925134553688,3.5237491130828857,6206,0.0005677971500294692
